"","industry","location","avg","c_tss","c_rss","c_mse","c_ess","c_rsq","c_cor","rsq","a_rsq","fstat","pval","rse","dec_fit","dec_lwr","dec_upr"
"1","2","1",433937.828149602,35419580265.8476,34333819046.5048,730506788.223506,1085761219.34286,0.0306542655557603,0.175083595907099,0.0306542655557602,-0.0616643758198818,0.332048490954594,0.854841871631085,28591.4651960972,425734.986241693,362334.982315639,489134.990167747
"2","2","2",382177.084334277,138439098097.287,24343366883.9771,517943976.254833,114095731213.31,0.824158296185447,0.90783164528752,0.824158296185446,0.807411467250727,49.212797204658,2.5714875134383e-15,24074.9656994154,474418.180676987,421033.266353992,527803.094999983
"3","2","3",368056.372068817,564084042689.773,123073758967.291,2618590616.32534,441010283722.481,0.781816627216703,0.884203951142894,0.781816627216705,0.7610372583802,37.6246570994612,2.27120678345579e-13,54132.5003529239,604731.759902316,484695.913143018,724767.606661613
"4","2","4",325884.048089536,146049811209.377,77211378270.681,1642795282.35491,68838432938.696,0.471335309293959,0.68653864370038,0.471335309293959,0.420986291131479,9.3613604891544,1.67546308172512e-05,42876.1722790401,297733.412645379,202657.85523056,392808.970060197
"5","2","5",336619.181503809,167682960389.656,142833391130.808,3039008321.93208,24849569258.8477,0.148193765192976,0.384959433178323,0.148193765192976,0.0670693618780214,1.82674705929896,0.141650302657264,58316.3358496056,375802.621657988,246489.349446853,505115.893869122
"6","2","6",279595.028587145,105430472349.266,72207400933.5135,1536327679.43646,33223071415.7521,0.315118301905089,0.561353989836262,0.315118301905089,0.249891473515098,4.83111489065505,0.0026899137045357,41463.5241115649,323774.378797276,231831.291115988,415717.466478565
"7","2","7",355603.440531802,73205588378.7752,41450791838.3665,881931741.24184,31754796540.4088,0.433775579756361,0.658616413215128,0.43377557975636,0.379849444495061,8.04388405834205,6.56872446345447e-05,31415.3404437896,318570.110775716,248908.318565554,388231.902985877
"8","2","8",331288.332349045,266589624528.644,145875269587.645,3103729140.16266,120714354940.999,0.452809651367465,0.672911325040281,0.452809651367466,0.400696284831034,8.68893494053799,3.33018610874637e-05,58934.0368926798,459644.901266667,328961.910914562,590327.891618773
"9","2","9",414992.008453535,213012386586.189,136315487997.648,2900329531.86486,76696898588.541,0.360058397625191,0.600048662714277,0.360058397625191,0.2991115783514,5.90774714604386,0.000726914299621007,56970.2278131908,517527.432242824,391199.080678751,643855.783806896
"10","2","10",255804.892419234,166646246763.022,59036578742.8553,1256097420.06075,107609668020.167,0.645737123460047,0.80357770219192,0.645737123460046,0.611997801884812,19.139007345484,5.00050905967891e-09,37491.7701264003,322328.369784328,239192.428449886,405464.311118771
