"","date","industry","location","monthly_amount"
"1",2013-01-01,"1","1",136080.875036212
"2",2013-02-01,"1","1",152964.144656857
"3",2013-03-01,"1","1",158480.518786667
"4",2013-04-01,"1","1",152341.084866338
"5",2013-05-01,"1","1",170330.065312083
"6",2013-06-01,"1","1",152575.380555616
"7",2013-07-01,"1","1",158754.587937215
"8",2013-08-01,"1","1",165312.826865811
"9",2013-09-01,"1","1",147199.169989067
"10",2013-10-01,"1","1",163408.69949039
"11",2013-11-01,"1","1",158582.081354805
"12",2013-12-01,"1","1",142600.885519868
"13",2014-01-01,"1","1",143201.953402468
"14",2014-02-01,"1","1",163401.761767375
"15",2014-03-01,"1","1",171897.333963553
"16",2014-04-01,"1","1",149094.828715443
"17",2014-05-01,"1","1",169036.433935513
"18",2014-06-01,"1","1",159646.269635195
"19",2014-07-01,"1","1",161244.058491977
"20",2014-08-01,"1","1",155636.693902526
"21",2014-09-01,"1","1",165516.455155111
"22",2014-10-01,"1","1",172024.825100612
"23",2014-11-01,"1","1",169039.8876121
"24",2014-12-01,"1","1",156885.951239798
"25",2015-01-01,"1","1",148422.42706
"26",2015-02-01,"1","1",168023.066734727
"27",2015-03-01,"1","1",176069.797124414
"28",2015-04-01,"1","1",161033.656237636
"29",2015-05-01,"1","1",161112.663673707
"30",2015-06-01,"1","1",167896.674642241
"31",2015-07-01,"1","1",175555.026365603
"32",2015-08-01,"1","1",179471.829446186
"33",2015-09-01,"1","1",173029.673313667
"34",2015-10-01,"1","1",182737.735845776
"35",2015-11-01,"1","1",177644.893081565
"36",2015-12-01,"1","1",161145.461225536
"37",2016-01-01,"1","1",148365.512099107
"38",2016-02-01,"1","1",183981.208414071
"39",2016-03-01,"1","1",192163.145691518
"40",2016-04-01,"1","1",181547.95228875
"41",2016-05-01,"1","1",189700.629606261
"42",2016-06-01,"1","1",189452.147057273
"43",2016-07-01,"1","1",167773.577129683
"44",2016-08-01,"1","1",193259.885792016
"45",2016-09-01,"1","1",182641.977231339
"46",2016-10-01,"1","1",183842.131807222
"47",2016-11-01,"1","1",202628.214516364
"48",2013-01-01,"2","1",416736.42894
"49",2013-02-01,"2","1",416164.393033611
"50",2013-03-01,"2","1",450694.099100946
"51",2013-04-01,"2","1",419980.4374188
"52",2013-05-01,"2","1",433893.173189872
"53",2013-06-01,"2","1",385378.251649481
"54",2013-07-01,"2","1",387169.155315783
"55",2013-08-01,"2","1",428898.810156222
"56",2013-09-01,"2","1",401599.972418261
"57",2013-10-01,"2","1",433297.049915729
"58",2013-11-01,"2","1",471129.021702268
"59",2013-12-01,"2","1",489721.86041549
"60",2014-01-01,"2","1",419491.480670714
"61",2014-02-01,"2","1",428641.191515253
"62",2014-03-01,"2","1",438185.652155048
"63",2014-04-01,"2","1",416619.312974623
"64",2014-05-01,"2","1",484981.279870189
"65",2014-06-01,"2","1",445489.53766037
"66",2014-07-01,"2","1",456027.682209652
"67",2014-08-01,"2","1",477961.344267712
"68",2014-09-01,"2","1",460230.822834786
"69",2014-10-01,"2","1",485025.094026807
"70",2014-11-01,"2","1",485676.61898553
"71",2014-12-01,"2","1",495799.88609442
"72",2015-01-01,"2","1",426460.346141831
"73",2015-02-01,"2","1",422988.847257468
"74",2015-03-01,"2","1",448341.223798113
"75",2015-04-01,"2","1",420994.111803827
"76",2015-05-01,"2","1",452218.443906433
"77",2015-06-01,"2","1",419858.452296839
"78",2015-07-01,"2","1",422377.965840449
"79",2015-08-01,"2","1",412614.399223915
"80",2015-09-01,"2","1",408575.147849588
"81",2015-10-01,"2","1",404328.066646068
"82",2015-11-01,"2","1",416270.779317163
"83",2015-12-01,"2","1",439822.229059809
"84",2016-01-01,"2","1",386484.743119038
"85",2016-02-01,"2","1",399443.059737952
"86",2016-03-01,"2","1",409582.874366419
"87",2016-04-01,"2","1",430644.801844673
"88",2016-05-01,"2","1",413271.921988596
"89",2016-06-01,"2","1",425129.085219912
"90",2016-07-01,"2","1",453103.376093421
"91",2016-08-01,"2","1",431393.351570393
"92",2016-09-01,"2","1",436423.345167642
"93",2016-10-01,"2","1",437344.699159545
"94",2016-11-01,"2","1",448614.095100637
"95",2013-01-01,"3","1",703994.148650526
"96",2013-02-01,"3","1",714368.276807619
"97",2013-03-01,"3","1",844744.94262381
"98",2013-04-01,"3","1",795645.86643381
"99",2013-05-01,"3","1",824217.393743044
"100",2013-06-01,"3","1",803384.48234
"101",2013-07-01,"3","1",741915.21713
"102",2013-08-01,"3","1",728309.592570333
"103",2013-09-01,"3","1",622375.989665152
"104",2013-10-01,"3","1",655361.229061892
"105",2013-11-01,"3","1",675910.62663359
"106",2013-12-01,"3","1",737650.606529024
"107",2014-01-01,"3","1",541548.306265854
"108",2014-02-01,"3","1",516891.998612955
"109",2014-03-01,"3","1",536196.3996056
"110",2014-04-01,"3","1",476217.768544906
"111",2014-05-01,"3","1",577837.154177963
"112",2014-06-01,"3","1",528973.263976909
"113",2014-07-01,"3","1",523865.084976429
"114",2014-08-01,"3","1",548564.363966
"115",2014-09-01,"3","1",520340.16602371
"116",2014-10-01,"3","1",561954.496026364
"117",2014-11-01,"3","1",577647.717082794
