"","Row.names","date","industry","location","monthly_amount","monthseq","Season","fit","lwr","upr"
"1","1",2013-01-01,"1","1",136080.875036212,156,"Season1",141173.713189349,122083.358665767,160264.067712932
"2","10",2013-10-01,"1","1",163408.69949039,165,"Season4",159477.954012857,140520.517506292,178435.390519421
"3","11",2013-11-01,"1","1",158582.081354805,166,"Season4",160248.138959782,141320.068093487,179176.209826077
"4","12",2013-12-01,"1","1",142600.885519868,167,"Season1",148843.835174033,130019.856507463,167667.813840602
"5","13",2014-01-01,"1","1",143201.953402468,168,"Season1",149541.118990822,130728.340725981,168353.897255662
"6","14",2014-02-01,"1","1",163401.761767375,169,"Season1",150238.402807611,131434.630749545,169042.174865678
"7","15",2014-03-01,"1","1",171897.333963553,170,"Season2",163912.007335111,145165.226729758,182658.787940463
"8","16",2014-04-01,"1","1",149094.828715443,171,"Season2",164685.622450198,145947.018722468,183424.226177929
"9","17",2014-05-01,"1","1",169036.433935513,172,"Season2",165459.237565286,146726.643199856,184191.831930715
"10","18",2014-06-01,"1","1",159646.269635195,173,"Season3",163568.458066625,144823.157825955,182313.758307295
"11","19",2014-07-01,"1","1",161244.058491977,174,"Season3",164326.672056778,145589.115708962,183064.228404593
"12","2",2013-02-01,"1","1",152964.144656857,157,"Season1",141870.997006139,122815.559960479,160926.434051799
"13","20",2014-08-01,"1","1",155636.693902526,175,"Season3",165084.88604693,146352.976614713,183816.795479148
"14","21",2014-09-01,"1","1",165516.455155111,176,"Season4",167949.988429033,149206.068772041,186693.908086026
"15","22",2014-10-01,"1","1",172024.825100612,177,"Season4",168720.173375958,149983.589168414,187456.757583503
"16","23",2014-11-01,"1","1",169039.8876121,178,"Season4",169490.358322884,150759.079762643,188221.636883124
"17","24",2014-12-01,"1","1",156885.951239798,179,"Season1",157211.240975505,138376.537380914,176045.944570096
"18","25",2015-01-01,"1","1",148422.42706,180,"Season1",157908.524792294,139058.652508819,176758.397075769
"19","26",2015-02-01,"1","1",168023.066734727,181,"Season1",158605.808609084,139738.586368447,177473.03084972
"20","27",2015-03-01,"1","1",176069.797124414,182,"Season2",173195.388716163,154403.588420859,191987.189011466
"21","28",2015-04-01,"1","1",161033.656237636,183,"Season2",173969.00383125,155159.398049109,192778.609613391
"22","29",2015-05-01,"1","1",161112.663673707,184,"Season2",174742.618946338,155913.064612376,193572.1732803
"23","3",2013-03-01,"1","1",158480.518786667,158,"Season2",154628.625954059,135616.416595671,173640.835312447
"24","30",2015-06-01,"1","1",167896.674642241,185,"Season3",172667.025948457,153876.183520084,191457.868376831
"25","31",2015-07-01,"1","1",175555.026365603,186,"Season3",173425.23993861,154617.00738696,192233.47249026
"26","32",2015-08-01,"1","1",179471.829446186,187,"Season3",174183.453928763,155355.757824872,193011.150032654
"27","33",2015-09-01,"1","1",173029.673313667,188,"Season4",177192.207792135,158402.29392729,195982.12165698
"28","34",2015-10-01,"1","1",182737.735845776,189,"Season4",177962.39273906,159155.487953244,196769.297524876
"29","35",2015-11-01,"1","1",177644.893081565,190,"Season4",178732.577685985,159906.674858404,197558.480513567
"30","36",2015-12-01,"1","1",161145.461225536,191,"Season1",165578.646776977,146419.62762129,184737.665932665
"31","37",2016-01-01,"1","1",148365.512099107,192,"Season1",166275.930593767,147076.117755621,185475.743431913
"32","38",2016-02-01,"1","1",183981.208414071,193,"Season1",166973.214410556,147730.54371757,186215.885103542
"33","39",2016-03-01,"1","1",192163.145691518,194,"Season2",182478.770097215,163333.691604107,201623.848590322
"34","4",2013-04-01,"1","1",152341.084866338,159,"Season2",155402.241069146,136423.791012685,174380.691125608
"35","40",2016-04-01,"1","1",181547.95228875,195,"Season2",183252.385212302,164064.379412077,202440.391012527
"36","41",2016-05-01,"1","1",189700.629606261,196,"Season2",184026.00032739,164793.048446131,203258.952208649
"37","42",2016-06-01,"1","1",189452.147057273,197,"Season3",181765.59383029,162630.949163756,200900.238496824
"38","43",2016-07-01,"1","1",167773.577129683,198,"Season3",182523.807820443,163347.45272262,201700.162918265
"39","44",2016-08-01,"1","1",193259.885792016,199,"Season3",183282.021810595,164061.999972012,202502.043649178
"40","45",2016-09-01,"1","1",182641.977231339,200,"Season4",186434.427155237,167309.780936832,205559.073373642
"41","46",2016-10-01,"1","1",183842.131807222,201,"Season4",187204.612102162,168039.418691463,206369.805512861
"42","47",2016-11-01,"1","1",202628.214516364,202,"Season4",187974.797049087,168767.159791055,207182.434307119
"43","5",2013-05-01,"1","1",170330.065312083,160,"Season2",156175.856184234,137229.079049346,175122.633319122
"44","6",2013-06-01,"1","1",152575.380555616,161,"Season3",154469.890184793,135469.727228934,173470.053140651
"45","7",2013-07-01,"1","1",158754.587937215,162,"Season3",155228.104174945,136260.452413338,174195.755936552
"46","8",2013-08-01,"1","1",165312.826865811,163,"Season3",155986.318165098,137049.156005351,174923.480324845
"47","9",2013-09-01,"1","1",147199.169989067,164,"Season4",158707.769065932,139719.007227474,177696.53090439
